"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","ofs"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012206CHG00000700","2022-06-28 13:09:28",NULL,NULL,NULL,NULL
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012206CHG00000683","2022-06-27 22:08:59",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012206CHG00000670","2022-06-27 08:08:21",NULL,NULL,NULL,NULL
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012206CHG00000607","2022-06-25 19:51:49",NULL,NULL,NULL,NULL
"TPE Cabopol Lacoflex CHM91-0000-50 ","RSEBS0000000139","2219514",900.0,"KG","E012206CHG00000480","2022-06-21 17:53:13",NULL,NULL,NULL,NULL
"Versify 2400","RVMAX0862000083","F341J6R011",250.0,"KG","E012206CHG00000447","2022-06-20 14:40:42",NULL,NULL,NULL,NULL
"Versify 2400","RVMAX0862000083","F341J6R011",250.0,"KG","E012206CHG00000446","2022-06-20 12:15:27",NULL,NULL,NULL,NULL
"Versify 2400","RVMAX0862000083","F341J6R011",400.0,"KG","E012206CHG00000230","2022-06-10 19:35:26",NULL,NULL,NULL,NULL
"Versify 2400","RVMAX0862000083","F341J6R011",1100.0,"KG","E012206CHG00000207","2022-06-09 22:41:33",NULL,NULL,NULL,NULL
"Versify 3401","RVMAX0862000084","F341M13013",200.0,"KG","E012203CHG00000573","2022-03-24 10:06:31",NULL,NULL,NULL,NULL
"Versify 3401","RVMAX0862000084","F341M13013",100.0,"KG","E012203CHG00000196","2022-03-09 09:59:42",NULL,NULL,NULL,NULL
"Hexpol Dryflex UV 453045","RSEBS0000000114","F000208810",850.0,"KG","E012203CHG00000010","2022-03-01 17:56:15",NULL,NULL,NULL,NULL
"IsoAdditive CLEAN L058","R00000000000103","A202131",650.0,"KG","E012202CHG00000692","2022-02-24 23:03:41",NULL,NULL,NULL,NULL
"Ravago AG2504T","RKRTG0910000090","0B406240",1000.0,"KG","E012201CHG00000231","2022-01-13 09:24:04",NULL,NULL,NULL,NULL
"IsoAdditive CLEAN L058","R00000000000103","A202131",1250.0,"KG","E012112CHG00000479","2021-12-18 01:16:14",NULL,NULL,NULL,NULL
"Flexaco Anti-Block FL-AAB003","R00000000000082","0502018768",25.0,"KG","E012111CHG00000300","2021-11-15 08:56:54",NULL,NULL,NULL,NULL
"Flexaco Anti-Block FL-AAB003","R00000000000082","0502018768",25.0,"KG","E012111CHG00000178","2021-11-08 21:22:20",NULL,NULL,NULL,NULL
"Flexaco Anti-Block FL-AAB003","R00000000000082","0502018768",25.0,"KG","E012111CHG00000105","2021-11-05 22:59:19",NULL,NULL,NULL,NULL
"Flexaco Anti-Block FL-AAB003","R00000000000082","0502018768",25.0,"KG","E012107CHG00000255","2021-07-11 14:22:49",NULL,NULL,NULL,NULL
"Flexaco Anti-Block FL-AAB003","R00000000000082","0502018768",25.0,"KG","E012107CHG00000118","2021-07-05 11:44:54",NULL,NULL,NULL,NULL
"Flexaco Anti-Block FL-AAB003","R00000000000082","0502018768",25.0,"KG","E012105CHG00000847","2021-05-31 15:04:04",NULL,NULL,NULL,NULL
