"ITMDES1_0","ITMREF_0","LOT_0","qtypcu_0","PCU_0","VCRNUM_0","CREDATTIM_0","matprima_cod","data_entrada_lote","data_saida_lote","ofs"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22012601AB50203",650.0,"KG","E012210CHG00000031","2022-10-02 08:59:22","RVMAX0863000012","2022-10-02 16:31:27","2022-10-03 16:28:34","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","20220904-01",692.0,"KG","E012210CHG00000030","2022-10-01 21:18:05","R00000000000001","2022-10-02 02:10:04","2022-10-02 20:19:49","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50136",650.0,"KG","E012210CHG00000029","2022-10-01 21:17:29","RVMAX0862000013","2022-10-02 16:35:28","2022-10-02 23:29:50","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50124",650.0,"KG","E012210CHG00000028","2022-10-01 21:17:20",NULL,NULL,NULL,NULL
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568306",900.0,"KG","E012210CHG00000027","2022-10-01 21:17:11","RSEBS0000000131","2022-10-02 22:26:03","2022-10-03 08:48:23","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568276",900.0,"KG","E012210CHG00000026","2022-10-01 21:17:03","RSEBS0000000131","2022-10-02 13:59:48","2022-10-02 22:24:34","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012210CHG00000025","2022-10-01 21:16:55","RAPPA0000000137","2022-10-04 06:18:59","2022-10-06 13:41:45","OFF-E0122/00361,OFF-E0122/00362"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012210CHG00000024","2022-10-01 21:16:32","RAAOX0000000138","2022-10-04 06:18:30","2022-10-06 13:41:52","OFF-E0122/00361,OFF-E0122/00362"
"Isolago Masterbatch Branco Isowhite L-75-0","RMWH00000000115","A221388",350.0,"KG","E012210CHG00000013","2022-10-01 19:08:15","RMWH00000000115","2022-10-03 14:53:03","2022-10-05 09:49:01","OFF-E0122/00366"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002571122",900.0,"KG","E012210CHG00000011","2022-10-01 10:26:59",NULL,NULL,NULL,NULL
"Vistamaxx 6202","RVMAX0863000012","VM6202V22012601AB50209",650.0,"KG","E012210CHG00000010","2022-10-01 10:18:33","RVMAX0863000012","2022-10-01 12:44:57","2022-10-02 16:29:56","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",747.0,"KG","E012210CHG00000001","2022-10-01 09:20:17","R00000000000001","2022-10-01 12:12:56","2022-10-02 01:49:24","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568283",900.0,"KG","E012209CHG00000819","2022-09-30 22:31:36","RSEBS0000000131","2022-10-01 12:41:46","2022-10-02 00:33:59","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002568238",900.0,"KG","E012209CHG00000818","2022-09-30 22:31:26","RSEBS0000000131","2022-10-01 00:41:25","2022-10-01 12:39:39","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50113",650.0,"KG","E012209CHG00000817","2022-09-30 22:31:00","RVMAX0862000013","2022-10-01 19:20:44","2022-10-02 00:23:51","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50167",650.0,"KG","E012209CHG00000816","2022-09-30 22:30:51","RVMAX0862000013","2022-10-01 05:33:32","2022-10-01 19:08:37","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Isolago Masterbatch Branco Isowhite L-75-0","RMWH00000000115","A221388",350.0,"KG","E012209CHG00000806","2022-09-30 20:42:34","RMWH00000000115","2022-10-01 15:34:52","2022-10-03 14:52:50","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6102","RVMAX0862000013","VM6102V21121503AB50101",650.0,"KG","E012209CHG00000802","2022-09-30 19:10:33","RVMAX0862000013","2022-09-30 23:35:33","2022-10-01 05:29:08","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","00586806269002569907",900.0,"KG","E012209CHG00000801","2022-09-30 14:42:51","RSEBS0000000131","2022-09-30 17:26:17","2022-10-01 00:40:33","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Vistamaxx 6202","RVMAX0863000012","VM6202V22012601AB5020",650.0,"KG","E012209CHG00000793","2022-09-29 22:59:36","RVMAX0863000012","2022-09-30 13:05:25","2022-10-01 12:44:40","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","20220902-02",796.0,"KG","E012209CHG00000792","2022-09-29 22:55:10","R00000000000001","2022-09-30 04:20:22","2022-10-01 12:12:34","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000776","2022-09-29 14:26:34","RAAOX0000000138","2022-10-01 19:28:59","2022-10-04 06:17:43","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000775","2022-09-29 14:24:04","RAPPA0000000137","2022-10-01 19:28:45","2022-10-04 06:18:16","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",797.0,"KG","E012209CHG00000773","2022-09-29 12:00:16",NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","20220901-01",750.0,"KG","E012209CHG00000762","2022-09-28 22:42:19",NULL,NULL,NULL,NULL
"Reciclado Elastictek","R00000000000001","LO22070019",770.0,"KG","E012209CHG00000761","2022-09-28 22:39:54","R00000000000001","2022-09-29 14:53:16","2022-09-30 04:18:17","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",765.0,"KG","E012209CHG00000760","2022-09-28 22:39:18",NULL,NULL,NULL,NULL
"Adplast MB Branco WE8625ES-S4","RMWH00000000117","22363974",275.0,"KG","E012209CHG00000740","2022-09-28 15:20:51","RMWH00000000117","2022-09-30 02:05:46","2022-10-01 15:34:36","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000739","2022-09-28 15:20:20","RPP620900000035","2022-10-04 15:41:35","2022-10-10 10:16:41","OFF-E0122/00361,OFF-E0122/00362"
"Reciclado Elastictek","R00000000000001","LO22070019",797.0,"KG","E012209CHG00000737","2022-09-28 13:30:39","R00000000000001","2022-09-28 19:57:57","2022-09-29 12:01:14","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",710.0,"KG","E012209CHG00000728","2022-09-27 22:50:30","R00000000000001","2022-09-28 02:30:58","2022-09-28 19:57:45","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"TPE Ravago Ensoft SL-600-40A-A2-000 NATURAL","RSEBS0000000131","0108680626179834102F4060503102",900.0,"KG","E012209CHG00000726","2022-09-27 22:45:18","RSEBS0000000131","2022-09-28 01:45:16","2022-09-28 15:00:16","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"PP 621P ","RPP620900000035","949A386362",175.0,"KG","E012209CHG00000721","2022-09-27 22:40:36","RPP620900000035","2022-09-28 17:10:56","2022-10-04 15:41:19","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB PPA AMF001PE-S4","RAPPA0000000137","50370322",75.0,"KG","E012209CHG00000696","2022-09-27 07:24:13","RAPPA0000000137","2022-09-29 12:45:10","2022-10-01 19:27:08","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Adplast MB AOX AO05LLDPE-S4","RAAOX0000000138","504777922",75.0,"KG","E012209CHG00000695","2022-09-27 07:23:53","RAAOX0000000138","2022-09-29 12:44:50","2022-10-01 19:27:31","OFF-E0122/00359,OFF-E0122/00358,OFF-E0122/00357,OFF-E0122/00356"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 19:42:00","2022-09-27 19:32:00","OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 19:42:00","2022-09-27 20:32:00","OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 20:32:00","2022-09-27 19:32:00","OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"Reciclado Elastictek","R00000000000001","LO22070019",755.0,"KG","E012209CHG00000694","2022-09-26 22:20:56","R00000000000001","2022-09-27 20:32:00","2022-09-27 20:32:00","OFF-E0122/00346,OFF-E0122/00347,OFF-E0122/00348,OFF-E0122/00349"
"TPE Cabopol Lacoflex CHM91-0000-PIR03 ","RSEBS0000000142","2231399",900.0,"KG","E012209CHG00000691","2022-09-26 22:10:02",NULL,NULL,NULL,NULL
